point.number lat.d lat.m lat.s lon.d lon.m lon.s
1 51 25 00 57 06 45
2 49 25 00 60 00 00
3 47 50 00 60 00 00
4 46 00 00 57 50 00
5 44 40 00 60 10 00
6 45 24 40 60 36 00
7 45 34 00 60 41 00
8 45 57 25 60 47 32
9 45 57 32 60 48 32
10 45 38 30 61 24 15
11 45 38 10 61 25 45
12 46 07 24 61 28 10
13 46 58 42 60 40 00
14 47 02 18 60 45 00
15 46 27 52 61 51 06
16 46 27 00 61 58 00
17 45 51 45 63 42 42
18 46 10 35 63 28 03
19 46 12 58 63 29 26
20 47 03 30 64 00 00
21 47 08 25 64 02 10
22 47 00 48 64 49 40
23 48 05 57 66 20 48
24 48 05 04 66 21 30
25 48 04 15 66 22 08
26 48 03 16 66 19 21
27 48 01 30 65 50 00
28 47 51 42 65 29 10
29 48 02 00 65 29 10
30 47 57 45 65 03 30
31 48 12 15 64 30 00
32 48 12 15 64 02 10
33 48 30 00 63 00 00
34 48 43 00 64 13 30
35 48 44 55 64 09 51
36 46 56 06 70 44 11
37 47 02 57 70 48 40
38 48 08 02 69 42 03
39 48 02 30 69 35 30
40 48 27 00 69 00 00
41 49 09 45 67 11 00
42 49 51 30 65 00 00
43 50 06 30 64 20 30
44 49 50 30 61 16 00
45 50 10 25 61 16 00
46 50 16 55 59 54 40
47 49 51 00 59 23 30
48 51 57 00 57 07 00
49 51 25 00 59 34 00
